ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-04-10,51206.83903816303,15565.817122714863,4766.8511633408225,5392.389869856221,5406.576089517825,22997.235267707023,8098.165009617211,7656.034154722596,7243.03610336721,12643.786647741159,4671.2164987127135,4342.771436701928,3629.7987123265148
2023-04-11,55432.680939254584,17404.25050113288,5663.893266643756,5912.645573891862,5827.711660597265,24486.700116234053,8348.540030242266,8519.50970418702,7618.650381804764,13541.730321887657,4655.8491516739105,4811.356730611453,4074.524439602291
2023-04-12,59743.291545719694,18604.897783316228,5987.53088580779,6160.60975433386,6456.757143174582,24693.362295850788,8288.068927908527,8934.308424408728,7470.984943533528,16445.031466552693,5698.1666861779795,5794.923616345078,4951.941164029633
2023-04-13,59069.295178812186,17955.122837340325,5536.487257284976,5994.27859998523,6424.356980070119,25224.027400435498,8439.378368376701,8425.157382432082,8359.491649626701,15890.144941036362,5676.083675247555,5231.300438558628,4982.760827230174
2023-04-14,59812.155071504894,19863.068845633585,6203.5324305177355,6556.301182627086,7103.235232488773,23464.1639378095,7377.5884915877405,7997.8370522902605,8088.7383939314905,16484.92228806182,6037.950128103092,4885.282699366155,5561.689460592577
2023-04-15,63142.59807303086,18043.943158530852,5961.999784063261,6030.510703274832,6051.4326711927615,30087.76670308137,10281.573902388269,9825.268312367338,9980.924488325765,15010.888211418642,4840.113632471086,4977.491485371997,5193.283093575551
2023-04-16,67928.19135372333,22351.451630568645,7519.373617270504,7599.1101685435,7232.967844754645,29398.88165045641,10331.924235275237,9845.460914280924,9221.496500900237,16177.858072698276,5848.806553463003,4723.689603078464,5605.361916156806
2023-04-17,53290.527917168016,16211.785840242883,5521.388879307824,5054.522133034801,5635.874827900264,23921.260397002585,8234.699512600662,7818.113324926256,7868.447559475661,13157.481679922554,4257.633426288787,4468.678450863465,4431.169802770299
2023-04-18,59290.40863248685,17880.25592083869,6175.268063861947,5509.392430250538,6195.59542672621,26400.912257303222,9348.074654493279,8112.602792066657,8940.234810743279,15009.24045434493,5213.759881855565,4593.145344959529,5202.335227529836
2023-04-19,60523.384952884575,18867.47929405356,6444.453135874326,5858.767006205812,6564.259151973433,26544.204733223713,8762.611854182616,8610.401923295976,9171.190955745116,15111.700925607303,4959.791246934855,5066.829435778565,5085.080242893881
2023-04-20,60943.10529719101,18685.494609297755,6047.212105229961,6096.772714368401,6541.509789699398,26392.50878031999,8886.985481005993,8694.39914643299,8811.124152880995,15865.10190757327,5139.60451381345,5349.522652012753,5375.974741747065
2023-04-21,60834.1246563064,19841.5371203103,6514.84505932076,6703.794105682206,6622.897955307344,26457.274731880687,8937.036831117128,8886.12782745892,8634.110073304626,14535.312804115438,4777.143971148249,4934.678396538508,4823.490436428674
2023-04-22,73121.88102342072,23323.388795199142,7448.133989973852,8237.296398319619,7637.958406905681,32686.246648044616,10856.074320909025,10428.202498414057,11401.969828721527,17112.24558017696,5387.1583576050425,5661.397192163264,6063.690030408651
2023-04-23,73928.30580965176,22447.23873719991,7205.139535179531,7792.689389415529,7449.409812604859,31891.598988239028,10300.370213156171,10967.92203848917,10623.306736593671,19589.468084212844,6661.566029722588,6155.360861326939,6772.541193163308
2023-04-24,56356.88720601972,18135.35501599934,5810.630824855918,6232.557046729195,6092.167144414232,25022.453302863258,8348.286210918512,7963.066427901226,8711.10066404351,13199.078887157124,4704.3996256938835,3811.380405366573,4683.298856096663
2023-04-25,60734.50114515873,18989.530307043082,6591.969524360659,5889.510927571288,6508.049855111144,26756.07851353552,9653.886903264593,7976.011738256324,9126.179872014593,14988.892324580122,4973.852066948158,4363.432299907722,5651.607957724241
2023-04-26,61162.99190819804,18791.237467892857,6335.455194221576,5819.944089481373,6635.838184189911,26198.32511079378,9037.40201707315,8201.731037584972,8959.192056135653,16173.429329511404,5575.39459616979,5369.818799446034,5228.215933895578
2023-04-27,58606.02152388549,17580.960968329742,5927.414480440985,6008.271924354583,5645.274563534182,27455.147691924754,9224.402360655766,8765.01484561321,9465.730485655768,13569.912863631002,4564.672232233183,4025.645967332789,4979.594664065025
2023-04-28,58097.02475080249,17535.6657712295,5771.541411561734,6260.378028430968,5503.746331236801,26639.153880207134,9080.192015321834,8509.087232375956,9049.874632509336,13922.205099365865,4625.014969510709,4364.235329516483,4932.954800338671
2023-04-29,68143.7823773427,19297.82513092058,6573.306065955429,6237.951488298413,6486.567576666741,30736.929008616906,10096.993974673607,10328.138324894684,10311.796709048609,18109.028237805232,5685.217491799061,6325.513256796197,6098.297489209969
2023-04-30,68975.73893432194,21568.796532302786,7091.399591968991,6968.2777948873445,7509.119145446457,30061.536250842808,10284.839089290652,10229.601236323995,9547.09592522815,17345.406151176354,6035.575652031285,5113.501294824593,6196.329204320468
2023-05-01,51474.52696135504,15394.445535111385,5426.383948846055,4938.727660243294,5029.3339260220355,25547.15149120192,8991.405910534933,8219.728342007045,8336.01723865993,10532.929935041742,3739.0006844008058,3103.367249246892,3690.562001394042
2023-05-02,59662.26738650115,17835.242666373,6118.870806500814,5600.2154776168245,6116.156382255365,26489.78082544547,9208.216843401884,8541.97311520419,8739.590866839386,15337.243894682695,4900.324994761395,4820.882945109371,5616.035954811928
2023-05-03,59280.931709830074,18072.0278450444,6334.758218562991,5848.190791430367,5889.078835051043,25209.36755819741,8678.338165066518,7836.873845251862,8694.155547879021,15999.536306588285,5261.314834310829,4827.334015540727,5910.887456736728
2023-05-04,57151.45269890378,17973.535207868776,6117.749886196173,5845.80700659869,6009.978315073919,24612.089599529434,8410.221356852728,8019.767003011467,8182.101239665232,14565.827891505567,5064.917342052692,4519.889677631946,4981.020871820926
2023-05-05,60857.825959735004,18914.68890288394,6828.762481131021,5721.635986707083,6364.290435045845,26847.187040071953,8741.600277077881,8508.103673416179,9597.483089577883,15095.95001677912,4617.841959539512,4553.179579575945,5924.9284776636605
2023-05-06,68378.51718768117,20615.659745505407,7448.722480875881,6535.743631798524,6631.193632831006,30378.403465565443,11293.598449762125,9962.833519166192,9121.971496637123,17384.45397661033,5550.897277491147,5880.523099368481,5953.033599750699
