ds,total,total/State 1,total/State 1/Zone P,total/State 1/Zone Q,total/State 1/Zone R,total/State 2,total/State 2/Zone P,total/State 2/Zone Q,total/State 2/Zone R,total/State 3,total/State 3/Zone P,total/State 3/Zone Q,total/State 3/Zone R
2023-06-19,36655.48046875,12435.30859375,4534.5341796875,5292.66542253801,4804.276302569896,18341.594059787752,6201.326171875,6815.740910147062,6162.5078125,10423.414588881851,3767.585693359375,4094.308104140684,3892.77872372486
2023-06-20,41891.84375,12257.01171875,4532.74072265625,4923.43787536492,4875.1817918232255,18915.029038926674,6273.28271484375,6797.687558714307,6509.61572265625,11059.570556105162,3691.691162109375,3741.8473271077423,3629.458940811327
2023-06-21,40609.92578125,12350.4541015625,4475.904296875,5211.948752186851,4742.947061054632,19723.22316093814,6787.42041015625,6372.953651018365,5916.20703125,10472.873898251719,3738.1884765625,3384.907655902501,4052.3040552372563
2023-06-22,39447.5390625,12784.1357421875,4370.41064453125,5195.90351524518,4751.214173488073,19954.73908078023,6748.61328125,6933.865477132306,5950.69482421875,10319.957359896776,3738.0703125,3541.868143806889,3711.426091183345
2023-06-23,44946.6484375,13575.5546875,4309.31005859375,4811.441806776819,4954.209473310224,20100.269010475746,6867.98681640625,6403.779514785435,6205.76318359375,11114.431716605259,3671.177734375,3462.875097777739,3594.406602479248
2023-06-24,46167.703125,14927.1650390625,4435.56982421875,5459.54185173861,5046.475902016369,20687.74822910272,6615.77734375,6478.211821899491,6423.53271484375,12186.90934320251,3751.807373046875,3446.8832452900383,3841.4743130628603
2023-06-25,47769.94921875,15117.24609375,4751.36962890625,4990.235001372784,5124.731056757376,20467.06037486807,6867.12109375,6314.11189954831,6363.810546875,11513.868117432557,3502.8984375,3541.2228112438474,3871.8487438551806
2023-06-26,41148.89453125,14378.4833984375,4508.326171875,5300.442442798105,4965.484377584394,19293.10403225885,6396.490234375,6311.625560406336,6275.39208984375,10146.406013896913,3724.931884765625,3512.7955572185697,3658.6508306871124
2023-06-27,44257.484375,13629.9326171875,4524.39404296875,5159.009932945432,5077.784682928605,18842.84685514949,6332.849609375,5560.6208304923875,6526.2373046875,10623.897889522968,3630.296142578125,3466.125737870161,3895.0238803087313
2023-06-28,42658.73828125,14512.306640625,4586.474609375,4943.736891294767,4845.28696471589,18869.176459489536,6504.58837890625,6241.740990140029,6455.05419921875,11044.084107405699,3763.620361328125,3490.5458515472756,4167.812244780637
2023-06-29,43239.3125,14711.3984375,4552.66845703125,4759.493163815139,5088.993980352014,18243.06900124959,6273.44287109375,6309.755454278157,6273.0078125,10974.55113862951,3625.01025390625,3962.651909736567,3771.69498414054
2023-06-30,42834.60546875,14583.017578125,4419.71630859375,4705.276233674625,4759.036803269648,20205.062502304994,6205.20703125,6596.775020470463,6455.60791015625,11067.74041080754,3794.09619140625,3798.3313007966967,3307.476710136053
2023-07-01,45324.00390625,15288.93359375,4512.06005859375,4854.089269869082,4993.265138643867,20886.058949215017,6524.697265625,6537.17747848507,6572.3388671875,11942.075832231169,3811.00439453125,3682.1999894128194,3764.5224728503404
2023-07-02,50961.18359375,13486.0927734375,4854.78564453125,5216.518763607992,4715.604200694285,20632.274523193857,6030.01220703125,7545.252090317546,6519.8544921875,12251.831745357862,3645.042236328125,3411.6795324436916,3636.28530323219
2023-07-03,33753.21484375,10912.5341796875,4275.82568359375,4781.868298411149,4933.261628592217,16293.01859607173,6424.25537109375,6290.7744239569465,6176.3740234375,10279.198691250105,3623.591796875,3112.126063450787,3649.9651941836255
2023-07-04,40990.69140625,13290.443359375,4565.9462890625,5071.511134661898,4632.358279011045,18739.739384526365,6216.6611328125,7641.590320426569,6270.2568359375,10852.823802155192,3720.234130859375,3601.91437758407,3693.902560744629
